Params: ['300', '20', '0.9', '0.3', '0.1', '0.005'], mean: 7.6832896472053465, std: 2.4744811810089224
Params: ['300', '20', '0.9', '0.3', '0.1', '0.05'], mean: 7.385834205121155, std: 1.9864427848408814
Params: ['300', '20', '0.9', '0.3', '1.0', '0.0005'], mean: 7.2860877365361745, std: 2.0683740472603547
Params: ['300', '20', '0.9', '0.3', '1.0', '0.005'], mean: 7.672712149565887, std: 3.173200470854498
Params: ['300', '20', '0.9', '0.3', '1.0', '0.05'], mean: 8.075746515647802, std: 3.841873567955985
Params: ['300', '20', '0.9', '0.5', '0.01', '0.0005'], mean: 8.489819859467923, std: 4.088366679323471
Params: ['300', '20', '0.9', '0.5', '0.01', '0.005'], mean: 8.435556244225376, std: 2.4556939518061593
Params: ['300', '20', '0.9', '0.5', '0.01', '0.05'], mean: 8.8805742986179, std: 2.19242868744551
Params: ['300', '20', '0.9', '0.5', '0.1', '0.0005'], mean: 9.856438694205348, std: 4.9470532652362165
Params: ['300', '20', '0.9', '0.5', '0.1', '0.005'], mean: 9.780201078515848, std: 2.44291812801185
Params: ['300', '20', '0.9', '0.5', '0.1', '0.05'], mean: 8.338406955017915, std: 3.2780115899800615
Params: ['300', '20', '0.9', '0.5', '1.0', '0.0005'], mean: 8.306954928119438, std: 3.7895501203039688
Params: ['300', '20', '0.9', '0.5', '1.0', '0.005'], mean: 7.458727931827641, std: 3.0901346461387473
Params: ['300', '20', '0.9', '0.5', '1.0', '0.05'], mean: 7.497642771586456, std: 1.593161357524036
Params: ['300', '20', '0.9', '0.7', '0.01', '0.0005'], mean: 10.021864985704559, std: 3.823208888295771
Params: ['300', '20', '0.9', '0.7', '0.01', '0.005'], mean: 7.19210672346632, std: 3.014092116893036
Params: ['300', '20', '0.9', '0.7', '0.01', '0.05'], mean: 8.615021186136484, std: 4.958861424440094
Params: ['300', '20', '0.9', '0.7', '0.1', '0.0005'], mean: 6.836337007987302, std: 2.020063106438551
Params: ['300', '20', '0.9', '0.7', '0.1', '0.005'], mean: 8.516052594782032, std: 3.0160913549959925
Params: ['300', '20', '0.9', '0.7', '0.1', '0.05'], mean: 8.36793606382357, std: 3.324657672576302
Params: ['300', '20', '0.9', '0.7', '1.0', '0.0005'], mean: 7.3536076680319695, std: 3.3110558642643326
Params: ['300', '20', '0.9', '0.7', '1.0', '0.005'], mean: 9.036160163106263, std: 4.5323504083315775
Params: ['300', '20', '0.9', '0.7', '1.0', '0.05'], mean: 8.029704060746047, std: 3.6815633977270728
Params: ['300', '40', '0.7', '0.3', '0.01', '0.0005'], mean: 31.401382504767195, std: 9.391360559883346
Params: ['300', '40', '0.7', '0.3', '0.01', '0.005'], mean: 40.3022247362279, std: 16.410165591375513
Params: ['300', '40', '0.7', '0.3', '0.01', '0.05'], mean: 45.18082463122968, std: 30.12637352388764
Params: ['300', '40', '0.7', '0.3', '0.1', '0.0005'], mean: 36.096397753736454, std: 13.338661791565572
Params: ['300', '40', '0.7', '0.3', '0.1', '0.005'], mean: 36.32213543331527, std: 21.737331276440145
Params: ['300', '40', '0.7', '0.3', '0.1', '0.05'], mean: 45.18058865575619, std: 26.58213025272233
Params: ['300', '40', '0.7', '0.3', '1.0', '0.0005'], mean: 33.9438122443078, std: 21.539024316886955
