Best run: 565.0
Best reward: 235.4318881356464
Deltas: [3.310007867671236, 4.96604067898453, 2.1119469946973237, 5.756956479752034, 8.16063217891269, 4.24821583029265, 6.268985034972241, 6.616560415982679, 8.493188059156818, 8.886579382114398, 10.135483809133946]
Lambdas: [0.9502801250095901, 0.2586034325999415, 0.7735631511028599, 0.11308162922758214, 0.006582645245451654, 0.06496157318822424, 0.015953172377558906, 0.0003724320456466061, 0.005428974218707914, 0.0009005003646543179, 0.00041814426861523857]
Params: ['1500', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 48.812173656995746, std: 22.636179522015926
Params: ['1500', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 55.6222831275245, std: 26.75116631449166
Params: ['1500', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 52.44049664594996, std: 26.295102398256045
Params: ['1500', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 94.5011164607598, std: 57.79485225486279
Params: ['1500', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 70.74688848585954, std: 36.85837861790541
Params: ['1500', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 72.73832573016062, std: 48.15203100421336
Params: ['1500', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 90.29497479363796, std: 53.23168683182362
Params: ['2000', '50', '0.7', '0.7', '0.01', '0.0005'], mean: 39.495441329583876, std: 25.096280803216043
Params: ['2000', '50', '0.7', '0.7', '0.01', '0.0005'], mean: 40.90598062699945, std: 12.312735330581411
Params: ['2000', '50', '0.7', '0.7', '0.01', '0.0005'], mean: 38.49108206229609, std: 20.775175492773894
Params: ['2000', '50', '0.7', '0.7', '0.01', '0.0005'], mean: 25.75223804226037, std: 10.120321633439712
Params: ['2000', '50', '0.7', '0.7', '0.01', '0.0005'], mean: 35.27377046727426, std: 13.94414055686589
Params: ['2000', '100', '0.7', '0.7', '0.01', '0.0005'], mean: 45.37533626132482, std: 17.303404184256276
Params: ['2000', '100', '0.7', '0.7', '0.01', '0.0005'], mean: 77.32122106248838, std: 38.091947006724645
Params: ['2000', '100', '0.7', '0.7', '0.01', '0.0005'], mean: 82.66617596403331, std: 42.95854812856386
Params: ['2000', '100', '0.7', '0.7', '0.01', '0.0005'], mean: 44.79937387258043, std: 17.677411318348422
Params: ['2000', '100', '0.7', '0.7', '0.01', '0.0005'], mean: 66.17554663291605, std: 46.58158526721213
Params: ['2000', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 57.889226109777496, std: 32.84442055179208
Params: ['2000', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 50.894429025227794, std: 41.83158932162155
Params: ['2000', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 80.57219556287156, std: 23.63463641567563
Params: ['2000', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 63.160306246912626, std: 30.352760495674893
Params: ['2000', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 70.00000189415354, std: 41.609735574097236
Params: ['2000', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 92.03511192119959, std: 52.947607758815266
Params: ['2000', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 52.83917117374142, std: 24.822486969022236
Params: ['2000', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 65.9252834859267, std: 37.67749659187708
Params: ['2000', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 65.44871437233516, std: 35.24710698982141
Params: ['2000', '200', '0.7', '0.7', '0.01', '0.0005'], mean: 86.35607304757187, std: 42.76325032516107
Best params: ['500', '150', '0.7', '0.7', '0.01', '0.0005'], mean: 101.63752152525333, std: 42.76325032516107
